-----------------------------------------------

data base for temperature anomalies (2009)
author: 
Dipl.-Ing. Robert Sitzenfrei
robert.sitzenfrei@uibk.ac.at

-----------------------------------------------

     I(m/m)   kf(m/s)    kfHzuV(-)    Q(m3/s    TempR(°C)    BD(h)    Disp(m)     L(m)       B(m)     Bhyd(m)     v(m/s)
==============================================================================================================================
  0.000250   0.050000         10   0.000500          5       2000          1 144.150225  15.998216   1.600000   0.000013
  0.000250   0.050000          2   0.000500          5       2000          1  83.699158   9.265126   1.600000   0.000013
  0.000250   0.005000         10   0.000500          5       2000          1  96.464036 102.000000  16.000000   0.000001
  0.000250   0.005000          2   0.000500          5       2000          1  72.449439  31.221224  16.000000   0.000001
  0.000250   0.000500         10   0.000500          5       2000          1  45.962690  60.161587 160.000000   0.000000
  0.000250   0.000500          2   0.000500          5       2000          1  43.358514  51.271711 160.000000   0.000000
  0.001000   0.050000         10   0.000500          5       2000          1 158.388421   7.020072   0.400000   0.000050
  0.001000   0.050000          2   0.000500          5       2000          1 116.590126   5.446724   0.400000   0.000050
  0.001000   0.005000         10   0.000500          5       2000          1 114.226736  29.629878   4.000000   0.000005
  0.001000   0.005000          2   0.000500          5       2000          1 121.694094  18.748821   4.000000   0.000005
  0.001000   0.000500         10   0.000500          5       2000          1  86.972905  48.266165  40.000000   0.000000
  0.001000   0.000500          2   0.000500          5       2000          1  89.219858  37.946154  40.000000   0.000000
  0.002000   0.050000         10   0.000500          5       2000          1 141.307196   3.526992   0.200000   0.000100
  0.002000   0.050000          2   0.000500          5       2000          1 103.917843   3.328342   0.200000   0.000100
  0.002000   0.005000         10   0.000500          5       2000          1 144.958101  18.887289   2.000000   0.000010
  0.002000   0.005000          2   0.000500          5       2000          1 152.478975  15.890054   2.000000   0.000010
  0.002000   0.000500         10   0.000500          5       2000          1  98.794214  70.000000  20.000000   0.000001
  0.002000   0.000500          2   0.000500          5       2000          1 107.925736  31.974059  20.000000   0.000001
  0.003000   0.050000         10   0.000500          5       2000          1  97.165357   2.761257   0.133333   0.000150
  0.003000   0.050000          2   0.000500          5       2000          1  86.054554   2.666037   0.133333   0.000150
  0.003000   0.005000         10   0.000500          5       2000          1 155.999019  16.418409   1.333333   0.000015
  0.003000   0.005000          2   0.000500          5       2000          1 158.753432  12.761545   1.333333   0.000015
