before,location,type,building_standard,ceiling_cellar,ceiling_floor,wall_outside,ceiling_roof,window,g,front_door
1600,Tirol,single_family_house,,1.25,0.75,1.55,1.3,2.5,0.67,2.5
1600,Tirol,more_family_house,,1.25,0.75,1.55,1.3,2.5,0.67,2.5
1600,Tirol,,,1.25,0.75,1.55,1.3,2.5,0.67,2.5
1900,Tirol,single_family_house,,1.2,1.2,2,0.9,2.5,0.67,2.5
1900,Tirol,more_family_house,,1.2,1.2,1.5,0.9,2.5,0.67,2.5
1900,Tirol,,,1.2,1.2,2,0.9,2.5,0.67,2.5
1945,Tirol,single_family_house,,1.95,1.35,1.75,1.3,2.5,0.67,2.5
1945,Tirol,more_family_house,,1.1,1.35,1.3,1.3,2.5,0.67,2.5
1945,Tirol,,,1.95,1.35,1.75,1.3,2.5,0.67,2.5
1960,Tirol,single_family_house,,1.35,0.55,1.2,0.55,3,0.67,2.5
1960,Tirol,more_family_house,,1.35,0.55,1.2,0.55,3,0.67,2.5
1960,Tirol,,,1.35,0.55,1.2,0.55,3,0.67,2.5
1981,Tirol,,,0.5,0.3,0.5,0.3,2.5,0.67,2.5
1985,Tirol,,,0.5,0.3,0.5,0.3,2.5,0.67,2.5
1998,Tirol,,,0.4,0.2,0.35,0.2,1.7,0.67,1.7
1998,Tirol,,,0.35,0.2,0.27,0.2,1.5,0.67,1.5
1999,Tirol,,low_energy_standard,0.35,0.18,0.27,0.18,1.5,0.67,1.5
1999,Tirol,,,0.4,0.2,0.35,0.2,1.7,0.67,1.7
2003,Tirol,,,0.35,0.18,0.27,0.18,1.5,0.67,1.5
